sentence	obj-1	obj-2	aspect	t5_few
Why is it better going to Mindanao Island than visiting Boracay ?	Mindanao Island	Boracay	-	'brains female', 'brains Objects: 'Milan', 'Boracay' Aspect: Boracay What are the objects and the aspect of comparison in the sentence 'Why is it better going to Manila than going to Boracay?'? 'Why is it better going to Manila than going to Boracay'?'? 'Why is it better
Why are Mexicans under the illusion they are better than the USA at soccer ?	Mexicans	USA	better soccer	'brains female', 'brains Objects: 'Mexico', 'USA' Aspect: soccer  Objects: 'Mexico', 'USA' Aspect: soccer Objects: 'Mexico', 'USA' Aspect: soccer - Mexico' and the aspect of and and  ? than
What is the difference between a newt and a salamander ?	newt	salamander	-	'brains female', 'brains Objects: 'a newt','salamander' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a newt and a salamander?'? Objects: 'newt','salamander' Aspect: difference Between newt and salamander What
Is there really that much of a difference between generic drugs and the brand version ? ? ? ? ( See below ) ?	generic drugs	brand version	-	'' Objects: 'generic drugs', 'brand version' Aspect: generic drugs?????????????????????????????'A A  
Why does a lemonade taste better with soda than plain water ?	lemonade soda	lemonade plain water	taste	'brains female', 'brains Objects:'soda', 'plain water' Aspect: soda What are the objects and the aspect of comparison in the sentence 'Why does a lemonade taste better with soda than plain water?'? Objects:'soda', 'water' Aspect: taste Better with soda than plain water What are the objects and
Who is better , Dwayne or Lebron ?	Dwayne	Lebron	-	'brains female', 'brains Objects: 'Dwayne', 'Lebron' Aspect: better : - Who is better, Dwayne or Lebron?' Aspect: better : - Lebron or Dwayne Aspect: better: - Lebron or Dwayne Aspect: better
who is going to win the chelsea vs liverpool game ?	chelsea	liverpool	-	'brains female', 'brains Objects: 'chelsea', 'liverpool' Aspect: liverpoolObjects: 'chelsea', 'Objects: 'chelsea', 'liverpool' Aspect: liverpool What are the objects and the aspect of comparison in the sentence'Why do'??
Is japanese medical science better than american medical science ? Is american technology better ? ... need opinions pls ......	japanese medical science	american medical science	better	'brains female', 'brains male' Aspect: different' Aspect: 'need opinions pls......'? Aspect: 'need opinions' Aspect: technology What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:'speed limits','speed range' Aspect: Aspect: 
What would u rather buy an Ipod or Ipod Nano ?	Ipod	Ipod Nano	buy	' Objects: 'Ipod Nano', 'ipod' Aspect: Ipod Nano What are the objects and the aspect of comparison in the sentence 'Do you think you would rather buy an Ipod or an iPod?' Objects: 'ipod', 'ipod Nano' Aspect: iPod Nano What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?
Do comps . damage the eyes more than the TV ? WHY ?	comps	TV	damage the eyes	'brains female', 'brains Objects: 'Comps. damage the eyes more than the TV? WHY?', 'Comps damage the eyes' Aspect: eyes damage - eyes damage Aspect: eyes damage - eyes damage Aspect: eyes damage - eyes damage Aspect
Why do pro-lifers tend to be more violent than pro-choicers ?	pro-lifers	pro-choicers	violent	'brains female', 'brains Objects: 'pro-lifers', 'pro-choicers' Aspect: violent Objects: 'pro-lifers', 'pro Objects: 'pro-lifers', 'pro-choicers' Aspect:' and and and? '
What is the difference between chat rooms and forums ( if any ) ?	chat rooms	forums	-	'brains female', 'brains Objects: 'chat rooms', 'forums' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between chat rooms and forums?'?'? Objects: 'chat rooms', 'forums' Aspect: difference
do actions speaks louder than words ? why ?	actions	words	speaks	'brains female', 'brains Objects: 'do actions speaks louder than words?', 'why' Aspect: words Aspect: actions What are the objects and the aspect of comparison in the sentence 'Does money speak louder than actions?'?', 'why?'?
Should I rent or buy a home in California ?	rent home	buy home	-	'brains female', 'brains Objects:'rent', 'buy' Aspect: California What are the objects and the aspect of comparison in the sentence 'Why do people buy houses in California?' Objects:'rent', 'buy' Aspect: California What are the objects and the aspect of comparison in the sentence 'Why do people buy houses?' Objects:
Who will win the big game Ohio State or Michigan ?	Ohio State	Michigan	win	'brains female', 'brains Objects: 'Ohio State', 'Michigan' Aspect: Ohio State - Michigan Objects: 'Ohio State', 'Michigan' Aspect: Michigan Objects: 'Ohio State', 'Michigan' Aspect: Michigan What are the objects and the aspect of comparison in the sentence
Is Love really the most powerful feeling in this world or Hate is actually what can control and evntually destroy us ?	Love	Hate	-	'brains female', 'brains male' Aspect: different from Objects: 'Love', 'Hate' Aspect: Love' Objects: 'Love', 'Hate' Aspect: Love is what can control and evntually destroy us',' and the aspect of????'
Is Blockbuster DVD delivery as fast as Netflix ?	Blockbuster DVD	Netflix	-	' Objects: 'Blockbuster DVD delivery', 'Netflix' Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix Aspect: Netflix'?'A betteraaaa?
Who is better : Zico or Romario ?	Zico	Romario	-	'brains female', 'brains Objects: 'Zico', 'Romario' Aspect: better : Zico What are the objects and the aspect of comparison in the sentence 'Who is better : Zico or Romario?'?' Objects: 'Zico', 'Romario' Aspect: better : better: better: better What
Are gays and lesbians more productive at work than heterosexual people ?	gays and lesbians	heterosexual	productive	'brains female', 'brains Objects: 'yes', 'no' Aspect: productive What are the objects and the aspect of comparison in the sentence 'Are' Objects: 'are gays and lesbians more Aspect: productive What are the objects and the aspect of comparison in the sentence''?'???
What is healthier , masochism or sadism ?	masochism	sadism	healthier	'brains female', 'brainsObjects:'masochism','sadism' Aspect: healthier,'sadism','sadism' Aspect: healthier,  '' better Aspect:'''?'Aspect: '
what are the negitives and positives of gambling .... like do you earn more money or lose more ?	earn	lose	gambling	'brains female', 'brains Objects:'money', 'loss' Aspect: money What are the objects and the aspect of comparison in the sentence 'What are the negatives and positives of gambling?' Objects:'money', 'loss' Aspect: money'  'A betterspeed than '
Do liberals help this country more than Patriots and why ?	liberals	Patriots	help	'brains female', 'brains Objects: 'Do liberals help this country more than Patriots and why?', 'Why do Patriots help this country more than liberals?' Aspect: Patriots More Patriots More Patriots Aspect: Patriots More Aspect: Patriots More What are the objects and the aspect
Why are 1 way plane tickets more expensive than round trip ususally and why are saturday stays cheaper ?	1 way plane tickets	round trip	expensive	'brains female', 'brains male' Aspect: different Aspect: different What are the objects and the aspect of comparison in the sentence 'Why are weekend stays cheaper than weekday stays?'? Aspect: weekend stays Aspect: '' 'out'''' Aspect: 'Secret Service' Aspect: 
do u prefer redheads or blondes for a girl ?	redheads	blondes	prefer	'brains female', 'brains Objects:'redheads', 'blondes' Aspect: blondes What are the objects and the aspect of comparison in the sentence 'Do you prefer blondes or redheads?'? Objects:'redheads', 'blondes' Aspect: blondes What are the objects and the aspect of comparison in the sentence 
what is true love ? whats the difference between love and infatuation ... ?	love	infatuation	-	'brains female', 'brains Objects: 'true love', 'infatuation' Aspect: love and infatuation What are the objects and the aspect of comparison in the sentence 'What is true love? whats the difference between love and infatuation?'? 'Love and infatuation better   '?
what is the most popular form of showing affection , hug or kiss ?	hug	kiss	showing affection	' Objects: 'hugs', 'handshakes' Aspect: hug Aspect: affection What are the objects and the aspect of comparison in the sentence 'What is the most popular form of showing affection, hug or kiss?' Objects: 'hugs', 'handshakes' Aspect: affection What are the objects and the aspect of comparison in the sentence
How does the American system of democracy work In what way it is different from India 's form of democracy ?	American system of democracy	India 's form of democracy	-	', 'brains female' Aspect: different from Objects: 'American system of democracy', 'Indian system of democracy' Aspect: different from India Objects: 'American democracy', 'Indian democracy' Aspect: democracy vs India's democracy vs India's democracy': 'India''' '
